date,available,price_in_dollars,accommodates,availability_365
2020-10-18,t,6000.0,2,365
2020-10-16,t,12500.0,2,365
2020-10-16,t,11400.0,2,365
2020-10-18,t,12900.0,2,365
2020-10-17,t,25000.0,2,365
2020-10-14,t,11000.0,2,365
2020-10-17,t,8900.0,2,365
2020-10-17,t,6500.0,2,365
2020-10-20,t,15000.0,2,365
2020-10-20,t,8400.0,2,365
2020-10-15,t,14000.0,2,365
2020-10-14,t,7000.0,2,365
2020-10-19,t,7500.0,2,365
2020-10-15,t,3800.0,2,365
2020-10-14,t,12000.0,2,365
2020-10-15,t,9500.0,2,365
2020-10-15,t,10000.0,2,365
2020-10-18,t,11000.0,2,365
2020-10-14,t,13000.0,2,365
2020-10-17,t,7500.0,2,365
2020-10-15,t,10500.0,2,365
2020-10-16,t,9500.0,2,365
2020-10-17,t,15000.0,2,365
2020-10-17,t,5400.0,2,365
2020-10-17,t,9000.0,2,365
2020-10-16,t,13000.0,2,365
2020-10-17,t,10000.0,2,365
2020-10-17,t,7500.0,2,365
2020-10-18,t,14000.0,2,365
2020-10-15,t,17500.0,2,365
2020-10-15,t,10500.0,2,365
2020-10-20,t,3500.0,2,365
2020-10-18,t,11000.0,2,365
2020-10-17,t,6000.0,2,365
2020-10-20,t,6500.0,2,365
2020-10-17,t,4500.0,2,365
2020-10-15,t,7000.0,2,365
2020-10-16,t,6400.0,2,365
2020-10-16,t,9000.0,2,365
2020-10-17,t,10500.0,2,365
2020-10-17,t,13500.0,2,365
2020-10-15,t,10000.0,2,365
2020-10-18,t,11500.0,2,365
2020-10-15,t,10500.0,2,365
2020-10-15,t,8500.0,2,365
2020-10-20,t,11700.0,2,365
2020-10-18,t,7000.0,2,365
2020-10-18,t,7500.0,2,365
2020-10-16,t,9500.0,2,365
2020-10-15,t,8500.0,2,365
2020-10-15,t,7900.0,2,365
2020-10-15,t,4900.0,2,365
2020-10-19,t,9500.0,2,365
2020-10-14,t,6000.0,2,365
2020-10-19,t,9000.0,2,365
2020-10-18,t,8800.0,2,365
2020-10-19,t,10000.0,2,365
2020-10-17,t,9000.0,2,365
2020-10-18,t,8000.0,2,365
2020-10-16,t,15000.0,2,365
2020-10-17,t,7500.0,2,365
2020-10-15,t,6500.0,2,365
2020-10-18,t,5000.0,2,365
2020-10-17,t,9900.0,2,365
2020-10-21,t,7000.0,2,365
2020-10-17,t,5500.0,2,365
2020-10-20,t,17500.0,2,365
2020-10-15,t,8000.0,2,365
2020-10-20,t,4200.0,2,365
2020-10-14,t,7500.0,2,365
2020-10-18,t,8000.0,2,365
2020-10-16,t,11000.0,2,365
2020-10-14,t,9000.0,2,365
2020-10-19,t,19000.0,2,365
2020-10-16,t,13000.0,2,365
2020-10-15,t,7000.0,2,365
2020-10-20,t,7300.0,2,365
2020-10-18,t,7700.0,2,365
2020-10-14,t,6900.0,2,365
2020-10-20,t,7500.0,2,365
2020-10-15,t,7000.0,2,365
2020-10-16,t,6900.0,2,365
2020-10-19,t,9500.0,2,365
2020-10-19,t,10600.0,2,365
2020-10-14,t,8900.0,2,365
